"STATISTIC","Statistic Label","TLIST(M1)","Month","C02106V02545","Location","UNIT","VALUE"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M03","2022 March","5","Rural areas","%","109.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M04","2022 April","-","State","%","110.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M04","2022 April","1","Urban areas","%","110.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M04","2022 April","5","Rural areas","%","110.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M05","2022 May","-","State","%","111.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M05","2022 May","1","Urban areas","%","111.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M05","2022 May","5","Rural areas","%","111.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M06","2022 June","-","State","%","113.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M06","2022 June","1","Urban areas","%","113.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M06","2022 June","5","Rural areas","%","112.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M07","2022 July","-","State","%","113.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M07","2022 July","1","Urban areas","%","113.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M07","2022 July","5","Rural areas","%","113.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M08","2022 August","-","State","%","113.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M08","2022 August","1","Urban areas","%","113.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M08","2022 August","5","Rural areas","%","113.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M09","2022 September","-","State","%","113.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M09","2022 September","1","Urban areas","%","114"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M09","2022 September","5","Rural areas","%","113.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M10","2022 October","-","State","%","115.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M10","2022 October","1","Urban areas","%","115.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M10","2022 October","5","Rural areas","%","115.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M11","2022 November","-","State","%","116"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M11","2022 November","1","Urban areas","%","116"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M11","2022 November","5","Rural areas","%","115.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M12","2022 December","-","State","%","115.8"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M12","2022 December","1","Urban areas","%","116"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2022M12","2022 December","5","Rural areas","%","115.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M01","2023 January","-","State","%","114.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M01","2023 January","1","Urban areas","%","115"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M01","2023 January","5","Rural areas","%","114.5"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M02","2023 February","-","State","%","116.7"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M02","2023 February","1","Urban areas","%","116.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M02","2023 February","5","Rural areas","%","116.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M03","2023 March","-","State","%","118"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M03","2023 March","1","Urban areas","%","118.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M03","2023 March","5","Rural areas","%","117.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M04","2023 April","-","State","%","118.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M04","2023 April","1","Urban areas","%","118.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M04","2023 April","5","Rural areas","%","117.9"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M05","2023 May","-","State","%","119"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M05","2023 May","1","Urban areas","%","119.3"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M05","2023 May","5","Rural areas","%","118.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M06","2023 June","-","State","%","120"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M06","2023 June","1","Urban areas","%","120.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M06","2023 June","5","Rural areas","%","119.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M07","2023 July","-","State","%","120.2"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M07","2023 July","1","Urban areas","%","120.6"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M07","2023 July","5","Rural areas","%","119.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M08","2023 August","-","State","%","121"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M08","2023 August","1","Urban areas","%","121.4"
