"STATISTIC","Statistic Label","TLIST(A1)","Year","C01779V03424","Commodity Group","UNIT","VALUE"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1988","1988","12","Miscellaneous goods and services","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","-","All items","Base Dec 2023=100","46.7"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","02","Alcoholic beverages and tobacco","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","03","Clothing and footwear","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","04","Housing, water, electricity, gas and other fuels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","05","Furnishings, household equipment and routine household maintenance","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","06","Health","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","07","Transport","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","08","Communications","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","09","Recreation and culture","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","10","Education","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","11","Restaurants and hotels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1989","1989","12","Miscellaneous goods and services","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","-","All items","Base Dec 2023=100","48.3"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","02","Alcoholic beverages and tobacco","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","03","Clothing and footwear","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","04","Housing, water, electricity, gas and other fuels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","05","Furnishings, household equipment and routine household maintenance","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","06","Health","Base Dec 2023=100",""
